Pair_a,ms_ssim1,ms_ssim2,psnr_hvs[0],psnr_hvs[1],vif,iw_ssim,fsim,nlpd,lpips_yuv,lpips_y,dists_yuv,dists_y,vamf
ref_13_Img5,0.883375797,0.8811149,19.11086846,17.78628134,0.393930435,0.756920636,0.84836179,0.381288648,0.429830879,0.491662621,0.215060115,0.240032673,0
ref_13_Img6,0.962772438,0.962341964,32.28195116,26.8368291,0.426443934,0.949610949,0.962179422,0.196928188,0.335813105,0.396519899,0.129237652,0.152369857,75.832399
ref_13_Img7,0.953514203,0.952937782,29.70125117,25.28134292,0.367689967,0.934615493,0.951287329,0.22396861,0.366662651,0.423190504,0.152973711,0.175723672,67.769398
ref_13_Img8,0.930653633,0.929772139,26.17796778,22.93259451,0.291829586,0.897640109,0.928500235,0.276446849,0.404641598,0.466373205,0.181136727,0.204106271,53.01484
ref_13_Img9,0.983299304,0.98321718,43.4055952,32.38136743,0.601080954,0.981191754,0.986480772,0.136466339,0.242721587,0.293626904,0.046955705,0.045874834,89.931934
ref_14_Img1,1,1,100000,100000,0.999999702,1,1,0,0,0,0,0,97.428665
ref_14_Img10,0.917477685,0.91646719,29.60005851,21.04133522,0.26602754,0.919119,0.928793907,0.368847758,0.473194063,0.443121254,0.160307765,0.107090592,57.704612
ref_14_Img11,0.894211496,0.888816893,26.48162936,19.56125368,0.218801856,0.890981853,0.905872107,0.417088717,0.534524679,0.505588531,0.186951339,0.154517114,49.359098
ref_14_Img12,0.847336851,0.833374441,22.73253844,17.65529558,0.161231011,0.836030543,0.859781027,0.495656133,0.615379691,0.603620648,0.257341027,0.229250193,37.679052
ref_14_Img13,0.82716104,0.855471253,22.80868023,18.14636717,0.236892194,0.832312644,0.864317119,0.431649834,0.530894101,0.577882171,0.181173205,0.218108654,28.398819
ref_14_Img14,0.889251168,0.936393738,27.40973973,20.5958935,0.295402348,0.347210765,0.918962061,0.944857359,0.464811862,0.507508993,0.101462245,0.12644738,49.409455
ref_14_Img15,0.942288347,0.972218215,35.34746149,24.71215622,0.476998508,0.962387502,0.977489531,0.248180866,0.319133848,0.338994563,0.044358969,0.05434978,71.890339
ref_14_Img16,0.96172722,0.976412177,37.49065724,26.73217263,0.546063066,0.972384095,0.978942811,0.215067863,0.254315883,0.265848309,0.042112291,0.051218331,78.737811
ref_14_Img2,0.964285454,0.963999569,34.10438398,25.54818618,0.471909016,0.96814096,0.968844295,0.226061523,0.271316051,0.260991573,0.06120348,0.077399433,82.043652
ref_14_Img3,0.951342248,0.95062387,31.57627834,23.93311748,0.397282273,0.953006089,0.955254197,0.266550213,0.299179137,0.293792963,0.077546358,0.092686415,74.097527
ref_14_Img4,0.912402641,0.910437167,26.51498993,20.68384746,0.285720944,0.913157165,0.924905121,0.347484082,0.409210891,0.40578723,0.138133764,0.1356287,62.519855
ref_14_Img5,0.817191835,0.813522398,21.30981098,17.33818482,0.181736216,0.796620667,0.849866152,0.482946247,0.517914832,0.519792676,0.198236287,0.192810059,37.83346
ref_14_Img6,0.715114034,0.709955871,18.5138425,15.46641745,0.125636801,0.658937335,0.771630704,0.591594875,0.620873809,0.63527894,0.250038445,0.274265289,18.35873
ref_14_Img7,0.973231313,0.975953102,41.68261684,28.20121141,0.524357915,0.977501392,0.981128514,0.219471857,0.175932169,0.219751984,0.021105945,0.02222544,83.637524
ref_14_Img8,0.977245906,0.980037928,42.80569688,29.33859229,0.569461524,0.981513977,0.984230697,0.202330515,0.249244601,0.199845627,0.039955854,0.018672824,86.054927
ref_14_Img9,0.95323577,0.95583415,36.39358967,24.60136175,0.389988661,0.958039522,0.962522864,0.282645464,0.354542285,0.311362118,0.080898464,0.04671818,73.330609
ref_15_Img1,1,1,100000,100000,0.99999845,1.000000119,1,0,0,0,0,0,97.428187
ref_15_Img10,0.942476939,0.929788291,29.05195284,23.99151661,0.288145304,0.908740103,0.920274317,0.269810796,0.491581321,0.54751575,0.195808232,0.208108366,64.979223
ref_15_Img11,0.925047524,0.90717423,26.58536815,22.40551794,0.237632543,0.879902184,0.889799535,0.312064409,0.543323398,0.59541595,0.263291597,0.263901532,56.669648
ref_15_Img12,0.934246397,0.935236752,26.1591781,22.49261949,0.328457892,0.899853528,0.922550797,0.28063494,0.404219687,0.509167552,0.157178044,0.205110967,50.911276
ref_15_Img13,0.958498155,0.960744858,30.42031263,24.91157999,0.412993252,0.940473974,0.957056403,0.232858226,0.379901946,0.487006485,0.115848839,0.183418632,64.873178
ref_15_Img14,0.9656635,0.967632532,35.65057437,28.51016856,0.553986192,0.954093695,0.969426692,0.19730328,0.329510003,0.432140648,0.087314606,0.131354094,76.476735
ref_15_Img15,0.976898284,0.979457617,37.46955901,29.75049492,0.601948738,0.16528675,0.9695732,0.981392562,0.265002668,0.361663401,0.047105253,0.068517923,81.357902
ref_15_Img16,0.979280184,0.980756938,38.18870322,30.52924448,0.628564239,0.972743273,0.981847525,0.156298384,0.245150894,0.33606264,0.04232496,0.061992168,84.125442
ref_15_Img2,0.98507586,0.985054016,43.00960112,33.66505389,0.730759382,0.982939839,0.989616454,0.122923136,0.218840152,0.288784444,0.054057539,0.088297248,92.748444
ref_15_Img3,0.974038972,0.973869324,36.63083834,29.42018586,0.546420515,0.96418798,0.975433111,0.16869019,0.293046266,0.370468408,0.091238081,0.124517202,85.787105
ref_15_Img4,0.96361573,0.96330452,32.43563026,26.82272196,0.440828949,0.945036948,0.959757507,0.203548431,0.332251906,0.412998557,0.113713861,0.148323059,77.913884
ref_15_Img5,0.940305503,0.939920187,27.45122547,23.59158497,0.31935972,0.905760646,0.930380464,0.263596028,0.393634081,0.468167275,0.151582837,0.191406667,59.688637
ref_15_Img6,0.856708282,0.853026986,19.51922575,17.7099167,0.206538498,0.751105249,0.844627082,0.424834251,0.52689594,0.589405537,0.244856775,0.282725036,22.962528
ref_15_Img7,0.973387566,0.970706761,37.46441772,29.02177631,0.48949042,0.963142633,0.972706199,0.180076703,0.330633342,0.39567256,0.073952496,0.102527022,84.461521
ref_15_Img8,0.968789381,0.964598358,35.58582484,27.87872215,0.438301146,0.955150723,0.964795351,0.195702553,0.365573138,0.431049705,0.095696032,0.119779646,81.150014
ref_15_Img9,0.962814628,0.956558108,33.70257471,26.73529941,0.38870278,0.944485068,0.955421269,0.21648401,0.401079297,0.465261191,0.120198369,0.136456072,77.729757
ref_2_Img1,1,1,100000,100000,0.999999344,1.000000119,1,0,0,0,5.96E-08,-1.19E-07,97.42778
ref_2_Img10,0.995888663,0.995889366,53.41364159,42.39298625,0.914445281,0.996875405,0.99796176,0.05577771,0.133728802,0.140169889,0.009514987,0.009827733,96.863169
ref_2_Img11,0.975627058,0.971669555,41.90422145,30.45027298,0.486367077,0.966001213,0.970129788,0.161892995,0.440697044,0.441290051,0.107515395,0.095323145,86.024858
ref_2_Img12,1,1,100000,100000,0.999999344,1.000000119,1,0,0,0,5.96E-08,-1.19E-07,97.42778
ref_2_Img13,0.985715492,0.984841764,47.11933059,34.15325478,0.640065014,0.983451307,0.986908257,0.122295938,0.336200923,0.340322226,0.061295152,0.052672386,91.742953
ref_2_Img14,0.715757851,0.713585377,25.91829229,19.07054387,0.114191487,0.73001951,0.77852267,0.51732409,0.631358445,0.653520703,0.239941299,0.26673615,67.356914
ref_2_Img15,0.883069183,0.882639468,35.07352412,25.55820607,0.265516967,0.891714275,0.914031863,0.303357005,0.453309715,0.484721035,0.137810171,0.175161362,85.783005
ref_2_Img16,0.989011735,0.988977313,48.54354245,37.44475369,0.721184194,0.99081248,0.993435323,0.092919461,0.127868444,0.150476113,0.020780027,0.035281479,95.76248
ref_2_Img2,0.9903275,0.990329206,37.33326526,30.59032596,0.735876858,0.092746295,0.990240991,0.988235414,0.199142247,0.197829455,0.023848891,0.0210706,91.315418
ref_2_Img3,0.94960412,0.94944346,24.12931404,21.55191152,0.439813346,0.919492543,0.920632839,0.197432637,0.403259397,0.429724097,0.159044266,0.181408346,59.932446
ref_2_Img4,0.936010915,0.93555963,23.6348894,21.09062372,0.420384914,0.889771461,0.901463091,0.230610535,0.425769717,0.45456177,0.175466895,0.194071412,55.049087
ref_2_Img5,0.981198326,0.981265903,29.44706278,25.5286995,0.839037597,0.972986639,0.966960251,0.149149016,0.271658748,0.304036438,0.091672063,0.101230383,59.499904
